Compound,ID,NormInt,Sample.Type,Method,full_name,Class
AABA,sGF3,1.468228753,sGF,LC,Alpha-Aminobutyric acid,Amino acid related
AABA,sGF4,1.70434674,sGF,LC,Alpha-Aminobutyric acid,Amino acid related
AABA,sGF5,1.440664302,sGF,LC,Alpha-Aminobutyric acid,Amino acid related
AconAcid,exGF10,13.67720466,exGF,LC,Aconitic acid,Carboxylic acids
AconAcid,exGF16,12.03448276,exGF,LC,Aconitic acid,Carboxylic acids
AconAcid,exGF11,17.25347222,exGF,LC,Aconitic acid,Carboxylic acids
AconAcid,exGF17,13.5375817,exGF,LC,Aconitic acid,Carboxylic acids
AconAcid,exGF12,10.0504451,exGF,LC,Aconitic acid,Carboxylic acids
AconAcid,exGF18,13.89855072,exGF,LC,Aconitic acid,Carboxylic acids
AconAcid,exGF07,12.94212219,exGF,LC,Aconitic acid,Carboxylic acids
AconAcid,exGF13,15.06060606,exGF,LC,Aconitic acid,Carboxylic acids
AconAcid,exGF19,8.518628912,exGF,LC,Aconitic acid,Carboxylic acids
AconAcid,exGF09,14.1989882,exGF,LC,Aconitic acid,Carboxylic acids
AconAcid,exGF14,15.16891892,exGF,LC,Aconitic acid,Carboxylic acids
AconAcid,GF07,14.50347222,GF,LC,Aconitic acid,Carboxylic acids
AconAcid,GF16,5.697947214,GF,LC,Aconitic acid,Carboxylic acids
AconAcid,GF21,25.82793867,GF,LC,Aconitic acid,Carboxylic acids
AconAcid,GF08,17.21280277,GF,LC,Aconitic acid,Carboxylic acids
AconAcid,GF17,24.14356436,GF,LC,Aconitic acid,Carboxylic acids
AconAcid,GF22,25.93064516,GF,LC,Aconitic acid,Carboxylic acids
AconAcid,GF10,23.71254355,GF,LC,Aconitic acid,Carboxylic acids
AconAcid,GF19,15.41065292,GF,LC,Aconitic acid,Carboxylic acids
AconAcid,GF15,22.97431507,GF,LC,Aconitic acid,Carboxylic acids
AconAcid,GF20,20.62062937,GF,LC,Aconitic acid,Carboxylic acids
AconAcid,sexGF1,12.9856,sexGF,LC,Aconitic acid,Carboxylic acids
AconAcid,sexGF2,10.59429477,sexGF,LC,Aconitic acid,Carboxylic acids
AconAcid,sexGF3,12.17268446,sexGF,LC,Aconitic acid,Carboxylic acids
AconAcid,sexGF4,13.92,sexGF,LC,Aconitic acid,Carboxylic acids
AconAcid,sexGF5,8.082568807,sexGF,LC,Aconitic acid,Carboxylic acids
AconAcid,sGF1,8.50084317,sGF,LC,Aconitic acid,Carboxylic acids
AconAcid,sGF2,11.44078947,sGF,LC,Aconitic acid,Carboxylic acids
AconAcid,sGF3,10.20943396,sGF,LC,Aconitic acid,Carboxylic acids
AconAcid,sGF4,12.68053245,sGF,LC,Aconitic acid,Carboxylic acids
AconAcid,sGF5,9.156862745,sGF,LC,Aconitic acid,Carboxylic acids
ADMA,exGF10,0.086790352,exGF,LC,Asymmetric dimethylarginine,Amino acid related
ADMA,exGF16,0.070844592,exGF,LC,Asymmetric dimethylarginine,Amino acid related
